"formulae","term","estimate","std.error","statistic...5","p.value...6","r.squared","adj.r.squared","sigma","statistic...10","p.value...11","df","df.residual","nobs","method...15","statistic.Bartlett's K-squared","parameter.df","p.value...18","method...19","p.value...20","statistic.W"
"moisture ~ x","(Intercept)",4.28634176520363,0.0565502617802262,75.7970278168088,3.96943025599919e-58,0.363276366531663,0.338306812278003,0.625536677195722,14.5487725908607,1.00172781994043e-05,2,51,54,"Bartlett test of homogeneity of variances","4.31259274846855","2","0.115753034053475","Shapiro-Wilk normality test","0.00101747204635085","0.921875396984786"
"moisture ~ x","x10",-0.198054185963689,0.0779491565322102,-2.54081243177851,0.0138580344429259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00101747204635085",NA
"moisture ~ x","x20",-0.0649191459592429,0.077065016517926,-0.84239449873007,0.403150618038178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"om ~ x","(Intercept)",3.8174752746332,0.151960726854529,25.1214596932511,1.82131055367607e-31,0.297293284364903,0.269736158261566,0.678425269864829,10.7882543067109,0.000123805418542617,2,51,54,"Bartlett test of homogeneity of variances","5.47350936999679","2","0.064780238406422","Shapiro-Wilk normality test","0.00134364747655303","0.917439233669329"
"om ~ x","x10",-0.977114364975879,0.206688934479788,-4.72746336147682,1.6686195965036e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00134364747655303",NA
"om ~ x","x20",0.108428193352679,0.206688934479788,0.524596024579545,0.602011079115881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mf ~ x","(Intercept)",3.69198596952436,0.163396007810548,22.595325424383,3.41539521050927e-29,0.107742378613934,0.0720520737584915,0.839102518599455,3.01881362600644,0.0578437787494756,2,50,53,"Bartlett test of homogeneity of variances","8.19393218889188","2","0.0166230316831835","Shapiro-Wilk normality test","0.00516791689959832","0.933766473603729"
"mf ~ x","x10",0.67054882765291,0.222242598148027,3.01719307297822,0.0038862417973468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00516791689959832",NA
"mf ~ x","x20",-0.38364915566466,0.222242598148027,-1.72626291656799,0.0900180016070484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ph ~ x","(Intercept)",1.50297400335522,0.027935219728575,53.8021185427738,1.34439627221452e-46,0.120958174729166,0.0603346005725564,1.38093025199397,1.99523331330966,0.154219156385912,2,29,32,"Bartlett test of homogeneity of variances","31.9849707649323","2","1.13384018891551e-07","Shapiro-Wilk normality test","0.00804336074605246","0.938459635395119"
"ph ~ x","x10",0.200325514653247,0.0374790301676921,5.34500262565313,2.13261947597792e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00804336074605246",NA
"ph ~ x","x20",-0.0586547837807125,0.038393287205251,-1.52773539465749,0.132757080548418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mn_ppb ~ x","(Intercept)",4.83565594432159,0.291017414370997,16.6163800017718,8.99201080263996e-22,0.0680379264735623,0.00590712157179984,1.04165371046842,1.095075568088,0.347515023615566,2,30,33,"Bartlett test of homogeneity of variances","2.93163924125006","2","0.230888672784876","Shapiro-Wilk normality test","0.0339119667922619","0.953072812489768"
"mn_ppb ~ x","x10",2.72667099198197,0.384979852807347,7.08263295364307,4.94087692930148e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0339119667922619",NA
"mn_ppb ~ x","x20",0.837635442320385,0.399272598531658,2.09790365129194,0.0410934729657128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"al_ppb ~ x","(Intercept)",7.43615993124179,0.209775629649864,35.4481592721398,4.2593317260395e-37,0.116528452212445,0.068773233413118,0.329740133995029,2.44011974276803,0.101056092324078,2,37,40,"Bartlett test of homogeneity of variances","1.40782705040631","2","0.494645702504292","Shapiro-Wilk normality test","0.049183115135088","0.956037422208787"
"al_ppb ~ x","x10",0.576916951210732,0.281443540751949,2.04984967737881,0.04564191257355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.049183115135088",NA
"al_ppb ~ x","x20",0.655076534424687,0.292272222849027,2.24132327061086,0.0294750698062258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fe_ppb ~ x","(Intercept)",7.93593705780261,0.310653990408064,25.5459041339796,2.35682886350721e-30,0.412475326109806,0.389435142819994,0.73322299429138,17.9024324989725,1.28874148187922e-06,2,51,54,"Bartlett test of homogeneity of variances","5.35868751693801","2","0.0686081629102223","Shapiro-Wilk normality test","0.082992168015024","0.963484604680851"
"fe_ppb ~ x","x10",1.05301008570111,0.416786064020399,2.52650022782329,0.0147319438122719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.082992168015024",NA
"fe_ppb ~ x","x20",0.390094927877512,0.432822117922048,0.90128233222076,0.371759242925308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_cl_ppm ~ x","(Intercept)",2.17497869159513,0.436688488613121,4.98061833162271,2.6770401640299e-05,0.126006713368996,0.0917324668344469,0.124452798346867,3.67642548296368,0.0322445608368434,2,51,54,"Bartlett test of homogeneity of variances","11.3352777338974","2","0.00345601576316868","Shapiro-Wilk normality test","0.112429005493513","0.947497912342423"
"c_cl_ppm ~ x","x10",0.536849637201001,0.556670781199911,0.964393417674653,0.342822357588135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.112429005493513",NA
"c_cl_ppm ~ x","x20",1.42451274567223,0.713109315766218,1.99760781997586,0.0552166582345587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_nitrate_ppm ~ x","(Intercept)",0.779435531366134,0.329399825824577,2.36622933668831,0.0246256184860065,0.117656990735234,0.0823632703646437,1.24261596163225,3.33365226164355,0.0437457864907699,2,50,53,"Bartlett test of homogeneity of variances","1.40968092654224","2","0.494187409010141","Shapiro-Wilk normality test","0.141879773251716","0.957897343626303"
"c_nitrate_ppm ~ x","x10",0.50852301119719,0.403430747315934,1.26049641625098,0.21720652640427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.141879773251716",NA
"c_nitrate_ppm ~ x","x20",0.828123213986004,0.685700417649089,1.20770411198699,0.236596334298968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_so4_ppm ~ x","(Intercept)",1.57360053988645,0.0851385365025967,18.4828234607775,2.82562551880239e-20,0.31668563323718,0.291377693727446,0.673698999007136,12.5132918511748,3.42574396695208e-05,2,54,57,"Bartlett test of homogeneity of variances","33.7563291052805","2","4.67634205116593e-08","Shapiro-Wilk normality test","0.166407900324454","0.96992166899421"
"c_so4_ppm ~ x","x10",-0.259017872470985,0.122535283996172,-2.11382276209582,0.0413332532037603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.166407900324454",NA
"c_so4_ppm ~ x","x20",-0.199989598717396,0.130893027226922,-1.52788580839135,0.135045517536036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abs_254 ~ x","(Intercept)",-0.574532034854941,0.15638416929893,-3.6738503483477,0.000573505552533569,0.528115466149684,0.508854872931304,1.12710559931522,27.419480810472,1.02088239507504e-08,2,49,52,"Bartlett test of homogeneity of variances","9.20211939616218","2","0.0100411894754953","Shapiro-Wilk normality test","0.186874747397655","0.969693746794463"
"abs_254 ~ x","x10",-0.0613787332068402,0.209811379894346,-0.292542440918831,0.771058817670234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.186874747397655",NA
"abs_254 ~ x","x20",0.938537558234302,0.214929482731322,4.3667231982666,6.18211527174103e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"abs_365 ~ x","(Intercept)",-1.78921946006774,0.169606317466207,-10.5492500916084,2.01879354742263e-14,0.108549982137421,0.0767124814994715,0.239922441496034,3.40950074479254,0.0400604611638059,2,56,59,"Bartlett test of homogeneity of variances","7.32621353055048","2","0.0256526919058562","Shapiro-Wilk normality test","0.391736363103283","0.976556409801389"
"abs_365 ~ x","x10",0.0262561381470857,0.22755075316071,0.115385854726405,0.908592411296585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.391736363103283",NA
"abs_365 ~ x","x20",0.924013956024121,0.233101587228405,3.96399684365394,0.000230213019367082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"doc_254 ~ x","(Intercept)",3.41023066103766,0.183305748572845,18.6040573609313,2.21545002204809e-24,0.398336095234258,0.3760522469096,0.626550127766857,17.875552257888,1.10295263852771e-06,2,54,57,"Bartlett test of homogeneity of variances","1.66598873478466","2","0.434745547467817","Shapiro-Wilk normality test","0.511132786022517","0.980250463279202"
"doc_254 ~ x","x10",-0.365365489721497,0.24593046868522,-1.48564548213482,0.14352867260134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.511132786022517",NA
"doc_254 ~ x","x20",1.02389432949098,0.251929654382918,4.06420725658093,0.000166788658502844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e254_356 ~ x","(Intercept)",1.21443050147357,0.0311131995867166,39.0326458739415,1.17076585649085e-39,0.524815379052117,0.506180688034553,0.1117408789143,28.1633528861549,5.75427484557745e-09,2,51,54,"Bartlett test of homogeneity of variances","1.14892011903595","2","0.563008777984108","Shapiro-Wilk normality test","1.3673185642965e-06","0.712982254485472"
"e254_356 ~ x","x10",-0.0868529991530303,0.0417427375640501,-2.08067329124648,0.0425051481370827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3673185642965e-06",NA
"e254_356 ~ x","x20",0.0142195232841818,0.0427610027489855,0.332534841796224,0.740848442360094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
