,x,y,b_t,lat,lon,elev,sample_collect,moisture,om,mf,ph,mn_ppb,al_ppb,fe_ppb,c_cl_ppm,c_nitrate_ppm,c_so4_ppm,abs_254,abs_365,doc_254_undil,e254_356
1,0,0,T,55.25034497,-4.484439986,336.470032,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,10,T,55.25023601,-4.484469993,331.824219,1,69.8166,41.3428,58.6572,4.42,392.53,1442.59,3624.58,12.655,1.2595,8.5225,0.47,0.127,3.649,3.689
3,0,20,T,55.250206,-4.484504024,333.713623,1,68.936,32.8734,67.1266,5.04,1060.84,2210.03,8471.44,8.4525,4.7545,6.016,0.523,0.177,3.722,2.962
4,0,30,T,55.250139,-4.484643,NA,1,70.7101,53.5086,46.4914,4.22,72.62,939.41,1640.67,7.162,1.551,4.5445,0.481,0.136,3.664,3.528
5,0,40,T,55.25006996,-4.484717008,441.845154,1,78.6961,81.9574,18.0426,4.31,46.44,1805.11,2017.52,NA,NA,4.57,0.585,0.158,3.808,3.703
6,0,50,T,55.24994499,-4.484790014,349.35733,1,78.6205,68.6902,31.3098,4.09,80.11,1160.19,2754.44,NA,NA,4.697,0.868,0.251,4.198,3.456
7,0,60,T,55.249875,-4.484792026,342.237671,1,85.2457,86.7163,13.2837,4,19.01,1229.03,1015.18,8.402,NA,5.9415,0.741,0.212,4.022,3.485
8,0,70,T,55.24976897,-4.484817004,312.739471,1,86.0227,84.9624,15.0376,4.12,22.11,974.11,3614.32,NA,NA,5.2355,0.881,0.228,4.216,3.865
9,0,80,T,55.24969001,-4.484905014,337.297089,1,84.3792,74.9304,25.0696,4.42,22.24,724.62,3974.93,9.061,0.8075,4.206,0.543,0.162,3.75,3.352
10,0,90,T,55.24961097,-4.484949019,371.585449,1,78.549,49.7799,50.2201,4.88,372.41,2817.43,6281.86,11.393,3.2375,3.136,0.617,0.178,3.851,3.47
11,0,100,T,55.24963796,-4.484948013,343.086823,1,74.3184,32.8066,67.1934,5.03,884.14,1667.99,3836.07,7.353,1.9,2.801,0.234,0.081,3.322,2.878
12,0,0,B,55.25034497,-4.484439986,336.470032,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0,10,B,55.25023601,-4.484469993,331.824219,1,48.9204,15.5317,84.4683,4.99,743.34,9012.71,5330.94,9.1938,0.51,10.8865,0.817,0.238,4.127,3.434
14,0,20,B,55.250206,-4.484504024,333.713623,1,59.0907,25.1771,74.8229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0,30,B,55.250139,-4.484643,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,40,B,55.25006996,-4.484717008,441.845154,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,50,B,55.24994499,-4.484790014,349.35733,1,79.4684,65.4708,34.5292,4.16,NA,1600.78,1113.42,NA,9.5425,4.991,0.503,0.15,3.694,3.357
18,0,60,B,55.249875,-4.484792026,342.237671,1,84.5458,87.9303,12.0697,4.05,13.25,1091.95,534.23,NA,NA,5.036,0.409,0.112,3.564,3.663
19,0,70,B,55.24976897,-4.484817004,312.739471,1,80.6032,NA,NA,4.26,29.51,679.91,305.36,NA,NA,NA,0.348,0.091,3.48,3.829
20,0,80,B,55.24969001,-4.484905014,337.297089,1,67.3468,30.5775,69.4225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0,90,B,55.24961097,-4.484949019,371.585449,1,66.1263,27.266,72.734,4.93,718.94,12277.9,55626.72,7.641,7.768,3.426,1.535,0.593,5.118,2.59
22,0,100,B,55.24963796,-4.484948013,343.086823,1,60.6946,22.0728,77.9272,5.31,438.54,1396.4,2632.03,8.1325,1.3915,3.3085,0.369,0.125,1.17,2.948
23,10,0,T,55.250359,-4.484305,NA,1,87.4415,47.91,52.09,6.48,3795.3,5353.98,19541.17,9.4965,0.56,NA,0.575,0.197,3.793,2.921
24,10,10,T,55.250242,-4.484348,NA,1,64.3306,16.6462,83.3538,5.7,6827.9,7904.18,29527.86,7.793,9.957,2.8825,1.153,0.49,4.591,2.351
25,10,20,T,55.250151,-4.484407,NA,1,55.8668,15.1271,84.8729,5.66,1013.63,726.9,1529.65,7.6695,10.824,3.1225,0.207,0.064,1.095,3.23
26,10,30,T,55.25008698,-4.484520033,328.906189,1,57.8591,18.0861,81.9139,4.93,758.09,2611.76,6613.24,7.906,6.8035,4.128,0.358,0.113,3.494,3.164
27,10,40,T,55.25002504,-4.484605026,341.684265,1,66.6531,17.5857,82.4143,5.31,2950.96,8091.3,28902.84,7.4525,6.362,5.8155,1.128,0.413,4.556,2.732
28,10,50,T,55.24993904,-4.484660011,346.042572,1,72.0499,21.5422,78.4578,5.71,4993.29,3829.01,30464.04,NA,6.0075,4.403,1.101,0.419,4.52,2.627
29,10,60,T,55.24982898,-4.484664034,346.106537,1,67.7909,22.2556,77.7444,4.91,667.28,2800.08,2523.41,9.613,0.623,NA,0.454,0.12,3.626,3.795
30,10,70,T,55.249717,-4.484717008,332.898682,1,67.7059,24.7439,75.2561,4.56,2255.49,2929.06,31770.08,8.834,3.255,3.3215,1.695,0.561,5.339,3.021
31,10,80,T,55.24966403,-4.484757995,325.217163,1,58.9507,15.5937,84.4063,5.61,2251.94,3385.31,9050.17,15.618,11.57,3.041,0.428,0.16,3.59,2.682
32,10,90,T,55.24956403,-4.484838964,322.374023,1,45.5375,9.6484,90.3516,4.75,644.82,169.1,195.93,820.313,2.9845,NA,0.104,0.03,1.048,3.49
33,10,100,T,55.24950301,-4.484860003,323.518585,1,64.7587,18.5175,81.4825,6.31,1444.75,3322.19,7169.28,36.714,8.279,4.579,0.425,0.175,3.587,2.426
34,10,0,B,55.250359,-4.484305,NA,1,87.355,51.7535,48.2465,6.27,2919.6,1925.2,6481.55,NA,5.8155,2.4345,0.297,0.103,3.409,2.89
35,10,10,B,55.250242,-4.484348,NA,1,40.0732,7.1294,92.8706,6.98,10784.94,5364.03,19952.36,8.025,1.168,NA,0.652,0.224,3.899,2.904
36,10,20,B,55.250151,-4.484407,NA,1,53.7038,11.6108,88.3892,5.3,2647.45,2447.39,5910.83,7.473,12.6085,2.4465,0.567,0.194,1.261,2.92
37,10,30,B,55.25008698,-4.484520033,328.906189,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,10,40,B,55.25002504,-4.484605026,341.684265,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,10,50,B,55.24993904,-4.484660011,346.042572,1,88.1942,47.373,52.627,5.12,1582.65,5483.36,12941.1,7.2415,0.4205,NA,0.742,0.204,4.025,3.635
40,10,60,B,55.24982898,-4.484664034,346.106537,1,48.4695,9.9539,90.0461,4.96,1039.61,13683.19,33836.42,NA,0.919,NA,1.332,0.423,4.839,3.15
41,10,70,B,55.249717,-4.484717008,332.898682,1,61.4924,18.3531,81.6469,4.75,1330.17,3096.27,10212.83,38.953,1.5365,4.9495,0.782,0.235,4.079,3.321
42,10,80,B,55.24966403,-4.484757995,325.217163,1,47.9948,10.8701,89.1299,6.1,6711.95,13079.59,22745.03,NA,9.3755,3.3775,0.979,0.304,4.351,3.216
43,10,90,B,55.24956403,-4.484838964,322.374023,1,39.4347,6.7276,93.2724,4.85,618.85,494.47,517.9,9.9475,9.7275,2.838,0.14,0.029,1.064,4.871
44,10,100,B,55.24950301,-4.484860003,323.518585,1,49.7046,13.6362,86.3638,6.4,690.48,2704.66,5660.97,31.0415,3.646,7.911,0.29,0.089,3.4,3.251
45,20,0,T,55.250364,-4.484178973,334.29718,1,29.3949,7.1825,92.8175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,20,10,T,55.25025202,-4.484192971,331.917175,1,73.2469,42.5055,57.4945,4.42,168.79,5524.7,16847.86,NA,NA,3.626,1.653,0.48,5.281,3.44
47,20,20,T,55.25010601,-4.484283999,331.712311,1,69.0431,32.3906,67.6094,5.16,1107.5,3378.74,8144.45,NA,NA,4.5612,0.728,0.233,4.005,3.118
48,20,30,T,55.25006401,-4.484388018,329.636963,1,84.2568,60.6059,39.3941,4.93,1464.95,3381.5,13706.68,7.9585,6.0955,6.5245,0.798,0.269,4.101,2.965
49,20,40,T,55.24995002,-4.48446597,328.764252,1,88.3427,NA,NA,4.12,99.37,1876.24,4628.2,7.4375,NA,3.1065,1.099,0.307,4.517,3.578
50,20,50,T,55.24988296,-4.484501006,331.04538,1,83.8198,78.9521,21.0479,4.15,252.5,3090.28,3780.39,NA,NA,3.0475,1.934,0.564,5.669,3.432
51,20,60,T,55.24982203,-4.484517016,325.887939,1,85.0681,93.2687,6.7313,3.68,391.54,1750.64,3822.49,NA,NA,4.2815,3.517,1.101,7.854,3.195
52,20,70,T,55.24970502,-4.484579964,325.629791,1,83.8248,88.9354,11.0646,3.78,546.33,2460.48,4075.04,17.7545,NA,3.6875,3.521,1.015,7.859,3.468
53,20,80,T,55.24962002,-4.484656993,326.389557,1,76.8525,75.9659,24.0341,3.88,132.68,2548.33,3152.71,NA,NA,3.818,1.317,0.372,4.817,3.538
54,20,90,T,55.24955297,-4.484691024,324.078247,1,71.1345,70.5721,29.4279,3.98,445.15,3982.08,3839.96,NA,NA,NA,1.443,0.399,4.991,3.619
55,20,100,T,55.24946496,-4.484709967,332.716614,1,84.8261,89.6673,10.3327,3.93,612.11,2919.68,2977.82,NA,NA,NA,2.579,0.807,6.559,3.197
56,20,0,B,55.250364,-4.484178973,334.29718,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,20,10,B,55.25025202,-4.484192971,331.917175,1,41.2743,13.4783,86.5217,4.98,210.58,16155.43,43110.56,8.0065,5.9235,3.3055,2.079,0.683,5.869,3.045
58,20,20,B,55.25010601,-4.484283999,331.712311,1,46.1442,43.5497,56.4503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,20,30,B,55.25006401,-4.484388018,329.636963,1,71.1638,40.3076,59.6924,5.04,519.07,2664.62,4291.38,53.1585,3.4425,3.111,0.376,0.103,3.519,3.631
60,20,40,B,55.24995002,-4.48446597,328.764252,1,52.6513,20.1222,79.8778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,20,50,B,55.24988296,-4.484501006,331.04538,1,47.0586,28.1923,71.8077,4.75,NA,NA,NA,NA,NA,NA,1.195,0.357,4.649,3.351
62,20,60,B,55.24982203,-4.484517016,325.887939,1,83.9066,89.414,10.586,4,172.46,2532.25,2353.04,NA,NA,NA,1.759,0.49,5.428,3.588
63,20,70,B,55.24970502,-4.484579964,325.629791,1,75.3403,78.6247,21.3753,3.88,143.36,3652.32,3047.59,NA,NA,NA,1.628,0.458,5.247,3.552
64,20,80,B,55.24962002,-4.484656993,326.389557,1,78.9964,87.6709,12.3291,4.2,78.52,2193.9,302.81,NA,NA,NA,0.667,0.176,3.921,3.782
65,20,90,B,55.24955297,-4.484691024,324.078247,1,74.1061,84.5834,15.4166,3.96,195.48,2960.45,1779.34,NA,NA,5.761,1.11,0.297,4.532,3.74
66,20,100,B,55.24946496,-4.484709967,332.716614,1,82.995,95.3523,4.6477,3.91,348.9,4525.52,2240.14,5356.16,NA,NA,2.856,0.839,6.941,3.402
