Sample,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
"56  Fe  [ He ] :  Concentration value = 2817.90 is over the calibration range57  Fe  [ He ] :  Concentration value = 2801.82 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6235.70 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5924.56 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1115.63 is outside the allowed range [80.00, 120.00]",False,046SMPL.d,16/11/2023 13:16:17,Sample,,20-30-T,649.932,1.2,292.989,1.7,2817.902,1.0,2801.820,0.8,5.559,0.4,,,,,,
"27  Al  [ He ] :  Concentration value = 1029.05 is over the calibration range56  Fe  [ He ] :  Concentration value = 4017.39 is over the calibration range57  Fe  [ He ] :  Concentration value = 3989.62 is over the calibration range45  Sc ( ISTD )  [ He ] :  CPS RSD value = 11.33 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5698.03 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 10.79 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5561.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 79.79 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1962.34 is outside the allowed range [80.00, 120.00]",False,047SMPL.d,16/11/2023 13:17:55,Sample,,10-0-T,1029.048,1.6,759.059,3.6,4017.391,1.9,3989.623,1.3,6.067,1.7,,,,,,
"27  Al  [ He ] :  Concentration value = 1519.20 is over the calibration range55  Mn  [ He ] :  Concentration value = 1365.58 is over the calibration range56  Fe  [ He ] :  Concentration value = 6070.51 is over the calibration range57  Fe  [ He ] :  Concentration value = 5949.81 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6306.07 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6026.19 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1169.80 is outside the allowed range [80.00, 120.00]",False,048SMPL.d,16/11/2023 13:19:37,Sample,,10-10-T,1519.202,0.5,1365.579,1.0,6070.515,0.3,5949.807,0.7,14.520,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6314.62 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6081.04 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1147.08 is outside the allowed range [80.00, 120.00]",False,049SMPL.d,16/11/2023 13:21:15,Sample,,10-20-T,139.711,0.9,202.726,3.0,314.475,0.6,312.171,0.6,0.671,1.0,,,,,,
"56  Fe  [ He ] :  CPS RSD value = 6.07 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6288.10 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6060.34 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1104.28 is outside the allowed range [80.00, 120.00]",False,050SMPL.d,16/11/2023 13:27:54,Sample,,blk ,<0.000,N/A,0.141,12.5,2.723,11.8,3.668,15.2,0.001,270.4,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6344.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6135.81 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1105.24 is outside the allowed range [80.00, 120.00]",False,051SMPL.d,16/11/2023 13:29:33,Sample,,100 ppb check,119.868,1.7,117.385,1.3,115.248,1.5,111.307,2.6,108.444,1.3,,,,,,
"56  Fe  [ He ] :  Concentration value = 1359.59 is over the calibration range57  Fe  [ He ] :  Concentration value = 1353.11 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6531.51 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 6.13 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6449.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1244.12 is outside the allowed range [80.00, 120.00]",False,052SMPL.d,16/11/2023 13:31:11,Sample,,10-30-T,501.987,0.7,151.618,3.2,1359.589,1.2,1353.109,1.1,3.356,1.0,,,,,,
"27  Al  [ He ] :  Concentration value = 1555.17 is over the calibration range56  Fe  [ He ] :  Concentration value = 5942.02 is over the calibration range57  Fe  [ He ] :  Concentration value = 5855.82 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6684.39 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6881.45 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1212.20 is outside the allowed range [80.00, 120.00]",False,053SMPL.d,16/11/2023 13:32:49,Sample,,10-40-T,1555.168,1.0,590.192,1.7,5942.020,1.1,5855.823,0.2,17.540,0.8,,,,,,
"56  Fe  [ He ] :  Concentration value = 6262.98 is over the calibration range57  Fe  [ He ] :  Concentration value = 6196.11 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6709.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 7.50 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6597.05 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1267.72 is outside the allowed range [80.00, 120.00]",False,054SMPL.d,16/11/2023 13:34:31,Sample,,10-50-T,735.946,1.3,998.657,1.5,6262.981,0.9,6196.110,0.2,15.661,0.2,,,,,,
"56  Fe  [ He ] :  Concentration value = 1860.59 is over the calibration range57  Fe  [ He ] :  Concentration value = 1830.78 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6639.84 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 8.34 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6671.67 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1285.61 is outside the allowed range [80.00, 120.00]",False,055SMPL.d,16/11/2023 13:36:09,Sample,,10-80-T,650.665,2.1,450.387,3.6,1860.588,1.8,1830.781,1.3,4.768,1.3,,,,,,
"56  Fe  [ He ] :  Concentration value = 1473.90 is over the calibration range57  Fe  [ He ] :  Concentration value = 1453.39 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6799.58 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7007.90 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1233.16 is outside the allowed range [80.00, 120.00]",False,056SMPL.d,16/11/2023 13:37:47,Sample,,10-100-T,638.533,0.6,288.950,1.0,1473.904,0.5,1453.386,1.0,3.092,1.6,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7052.25 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6848.77 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1093.77 is outside the allowed range [80.00, 120.00]",False,057SMPL.d,16/11/2023 13:39:25,Sample,,10-90-T,32.500,2.0,128.963,0.8,40.280,3.0,41.502,3.8,0.146,2.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7042.88 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7287.33 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1280.35 is outside the allowed range [80.00, 120.00]",False,058SMPL.d,16/11/2023 13:41:08,Sample,,10-60-T,538.181,0.5,133.456,1.9,518.778,0.5,505.286,0.9,5.645,1.4,,,,,,
"56  Fe  [ He ] :  Concentration value = 6531.48 is over the calibration range57  Fe  [ He ] :  Concentration value = 6376.77 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7093.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7390.53 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1287.36 is outside the allowed range [80.00, 120.00]",False,059SMPL.d,16/11/2023 13:42:46,Sample,,10-70-T,562.972,1.8,451.098,1.2,6531.483,1.4,6376.770,3.0,14.563,2.4,,,,,,
"56  Fe  [ He ] :  Concentration value = 1332.52 is over the calibration range57  Fe  [ He ] :  Concentration value = 1321.40 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7113.01 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7333.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1363.90 is outside the allowed range [80.00, 120.00]",False,060SMPL.d,16/11/2023 13:44:23,Sample,,10-0-B,370.028,0.3,583.919,1.0,1332.516,0.4,1321.395,0.4,2.714,0.9,,,,,,
"56  Fe  [ He ] :  Concentration value = 1215.18 is over the calibration range57  Fe  [ He ] :  Concentration value = 1195.98 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7242.19 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7481.51 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1349.44 is outside the allowed range [80.00, 120.00]",False,061SMPL.d,16/11/2023 13:46:00,Sample,,10-20-B,470.395,1.2,529.490,3.6,1215.184,1.4,1195.985,1.2,3.162,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6944.93 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7283.70 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1258.54 is outside the allowed range [80.00, 120.00]",False,062SMPL.d,16/11/2023 13:47:42,Sample,,blk ,1.419,23.5,0.647,8.4,9.961,1.8,10.353,10.9,0.017,13.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 28.07 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7086.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 32.04 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7267.05 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1224.44 is outside the allowed range [80.00, 120.00]",False,063SMPL.d,16/11/2023 13:49:20,Sample,,100 ppb check,122.344,4.8,118.312,4.7,122.415,4.3,117.712,4.4,108.443,4.5,,,,,,
"27  Al  [ He ] :  Concentration value = 2513.93 is over the calibration range55  Mn  [ He ] :  Concentration value = 1342.39 is over the calibration range56  Fe  [ He ] :  Concentration value = 4676.06 is over the calibration range57  Fe  [ He ] :  Concentration value = 4626.66 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7352.98 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7572.16 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1374.75 is outside the allowed range [80.00, 120.00]",False,064SMPL.d,16/11/2023 13:50:58,Sample,,10-80-B,2513.929,1.4,1342.390,2.0,4676.059,1.1,4626.664,1.3,14.335,1.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7267.86 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7535.41 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1256.32 is outside the allowed range [80.00, 120.00]",False,065SMPL.d,16/11/2023 13:52:35,Sample,,10-90-B,95.038,2.9,123.769,1.6,106.473,1.0,103.618,1.7,0.309,1.6,,,,,,
"27  Al  [ He ] :  Concentration value = 1030.98 is over the calibration range55  Mn  [ He ] :  Concentration value = 2156.99 is over the calibration range56  Fe  [ He ] :  Concentration value = 4101.93 is over the calibration range57  Fe  [ He ] :  Concentration value = 4053.28 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7295.68 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7665.68 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1370.39 is outside the allowed range [80.00, 120.00]",False,066SMPL.d,16/11/2023 13:54:17,Sample,,10-10-B,1030.979,1.4,2156.988,1.6,4101.925,1.1,4053.278,1.5,11.978,0.7,,,,,,
"27  Al  [ He ] :  Concentration value = 1053.91 is over the calibration range56  Fe  [ He ] :  Concentration value = 2660.51 is over the calibration range57  Fe  [ He ] :  Concentration value = 2598.34 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7425.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7705.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1362.52 is outside the allowed range [80.00, 120.00]",False,067SMPL.d,16/11/2023 13:55:54,Sample,,10-50-B,1053.915,1.3,316.530,3.4,2660.508,1.0,2598.337,1.5,22.053,1.1,,,,,,
"27  Al  [ He ] :  Concentration value = 2629.94 is over the calibration range56  Fe  [ He ] :  Concentration value = 6956.29 is over the calibration range57  Fe  [ He ] :  Concentration value = 6792.78 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7435.64 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7723.01 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1369.50 is outside the allowed range [80.00, 120.00]",False,068SMPL.d,16/11/2023 13:57:33,Sample,,10-60-B,2629.944,1.0,207.922,1.8,6956.293,1.2,6792.781,0.8,45.529,0.9,,,,,,
"56  Fe  [ He ] :  Concentration value = 2099.62 is over the calibration range57  Fe  [ He ] :  Concentration value = 2042.59 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7459.60 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7760.73 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1387.89 is outside the allowed range [80.00, 120.00]",False,069SMPL.d,16/11/2023 13:59:09,Sample,,10-70-B,595.110,1.3,266.033,2.6,2099.615,1.2,2042.590,1.2,4.809,2.0,,,,,,
"56  Fe  [ He ] :  Concentration value = 1163.82 is over the calibration range57  Fe  [ He ] :  Concentration value = 1138.44 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7398.22 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7704.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1331.05 is outside the allowed range [80.00, 120.00]",False,070SMPL.d,16/11/2023 14:00:51,Sample,,10-100-B,519.842,1.3,138.095,0.6,1163.817,0.9,1138.440,0.9,2.620,2.7,,,,,,
"27  Al  [ He ] :  Concentration value = 1061.86 is over the calibration range56  Fe  [ He ] :  Concentration value = 3463.68 is over the calibration range57  Fe  [ He ] :  Concentration value = 3382.74 is over the calibration range45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7530.53 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7813.42 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 7.89 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1342.41 is outside the allowed range [80.00, 120.00]",False,071SMPL.d,16/11/2023 14:02:30,Sample,,20-10-T,1061.862,1.1,33.758,4.7,3463.684,1.1,3382.737,0.8,1.823,2.3,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7490.31 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7801.53 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 8.09 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1338.04 is outside the allowed range [80.00, 120.00]",False,072SMPL.d,16/11/2023 14:04:08,Sample,,20-50-T,593.959,1.7,50.500,4.1,777.196,1.6,757.693,0.8,7.056,2.7,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7462.05 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7627.01 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1379.16 is outside the allowed range [80.00, 120.00]",False,073SMPL.d,16/11/2023 14:05:46,Sample,,20-70-B,350.992,1.1,14.336,1.7,313.271,0.9,303.766,0.1,0.949,1.1,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7301.11 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7719.96 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1245.40 is outside the allowed range [80.00, 120.00]",False,074SMPL.d,16/11/2023 14:07:29,Sample,,20-60-B,243.353,3.1,17.246,3.9,241.877,2.2,235.688,2.8,4.900,0.9,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 5.87 is over the allowed maximum = 5.0057  Fe  [ He ] :  CPS RSD value = 5.90 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7352.19 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7743.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1293.06 is outside the allowed range [80.00, 120.00]",False,075SMPL.d,16/11/2023 14:09:07,Sample,,20-80-B,210.836,1.7,7.852,6.0,31.126,2.4,28.790,6.5,0.335,1.8,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7395.06 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7712.15 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1324.95 is outside the allowed range [80.00, 120.00]",False,076SMPL.d,16/11/2023 14:10:45,Sample,,20-90-T,382.683,1.3,44.515,3.0,394.721,0.4,383.964,2.6,0.929,1.9,,,,,,
"55  Mn  [ He ] :  CPS RSD value = 5.63 is over the allowed maximum = 5.0056  Fe  [ He ] :  CPS RSD value = 5.79 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7357.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7868.70 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1282.07 is outside the allowed range [80.00, 120.00]",False,077SMPL.d,16/11/2023 14:12:23,Sample,,DI H2O,<0.000,N/A,1.321,6.3,4.593,9.1,6.053,15.2,0.018,14.8,,,,,,
"56  Fe  [ He ] :  CPS RSD value = 5.53 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7403.16 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7762.21 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1401.26 is outside the allowed range [80.00, 120.00]",False,078SMPL.d,16/11/2023 14:14:06,Sample,,blk,4.528,2.9,0.629,4.5,10.329,6.9,10.679,2.7,0.221,5.5,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7481.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7716.10 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1231.85 is outside the allowed range [80.00, 120.00]",False,079SMPL.d,16/11/2023 14:15:44,Sample,,100 ppb check,121.760,2.8,115.993,2.2,119.984,3.8,116.174,4.5,106.301,2.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7345.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8102.91 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 9.17 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1373.47 is outside the allowed range [80.00, 120.00]",False,082SMPL.d,16/11/2023 14:20:43,Sample,,blk,<0.000,N/A,0.712,4.3,11.066,2.8,11.555,6.8,10.087,2.2,,,,,,
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7331.14 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8208.94 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1293.48 is outside the allowed range [80.00, 120.00]",False,083SMPL.d,16/11/2023 14:22:22,Sample,,blk,<0.000,N/A,0.325,2.3,5.412,5.6,6.044,8.7,3.781,1.2,,,,,,
"56  Fe  [ He ] :  CPS RSD value = 5.26 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7408.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8056.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1241.47 is outside the allowed range [80.00, 120.00]",False,084SMPL.d,16/11/2023 14:23:59,Sample,,blk,<0.000,N/A,0.136,11.4,3.316,9.4,3.153,13.2,2.206,0.8,,,,,,
