Sample,,,,,,,,27  Al  [ He ] ,,55  Mn  [ He ] ,,56  Fe  [ He ] ,,57  Fe  [ He ] ,,75  As  [ He ] ,,45  Sc ( ISTD )  [ He ] ,,103  Rh ( ISTD )  [ He ] ,,193  Ir ( ISTD )  [ He ] ,
"27  Al  [ He ] :  CPS RSD value = 17.60 is over the allowed maximum = 5.0056  Fe  [ He ] :  CPS RSD value = 19.13 is over the allowed maximum = 5.0057  Fe  [ He ] :  CPS RSD value = 19.60 is over the allowed maximum = 5.0075  As  [ He ] :  CPS RSD value = 19.56 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  CPS RSD value = 47.87 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5971.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 48.99 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6145.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 44.93 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1325.91 is outside the allowed range [80.00, 120.00]",FALSE,45,043SMPL.d,16/11/2023 13:11,Sample,,20-20-T,289197.51,17.6,2006588.36,3.9,23980995.06,19.1,616591.14,19.6,11757.64,19.6,161647.97,47.9,1389508.76,49,10121.76,44.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5434.87 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 4681.69 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 877.07 is outside the allowed range [80.00, 120.00]",FALSE,46,044SMPL.d,16/11/2023 13:13,Sample,,20-100-B,386817,0.8,633111.06,3.3,6622863.45,0.5,170043.4,0.7,9841.39,1.6,147123.74,3.7,1058476.36,3.1,6695.35,3.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6191.64 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5800.87 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1159.77 is outside the allowed range [80.00, 120.00]",FALSE,47,045SMPL.d,16/11/2023 13:14,Sample,,20-10-B,1376813.71,1,382672.59,1.4,126778201.4,0.6,3182503.29,0.9,10004.5,0.8,167609.71,2.2,1311511.23,2.1,8853.47,6.3
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6235.70 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5924.56 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1115.63 is outside the allowed range [80.00, 120.00]",FALSE,48,046SMPL.d,16/11/2023 13:16,Sample,,20-30-T,289432.62,1.2,2653753.87,1.7,40333449.4,1,1035174.78,0.8,14344.51,0.4,168802.42,3.5,1339476.13,3,8516.53,4.4
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 11.33 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5698.03 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 10.79 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 5561.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 79.79 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1962.34 is outside the allowed range [80.00, 120.00]",FALSE,49,047SMPL.d,16/11/2023 13:17,Sample,,10-0-T,457339.98,1.6,6872950.11,3.6,57486320.81,1.9,1473543.36,1.3,15652.21,1.7,154247.58,11.3,1257332.06,10.8,14980.13,79.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6306.07 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6026.19 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1169.80 is outside the allowed range [80.00, 120.00]",FALSE,50,048SMPL.d,16/11/2023 13:19,Sample,,10-10-T,674425.63,0.5,12363584.82,1,86846285.37,0.3,2196965.44,0.7,37412.18,1.6,170707.37,1.5,1362452.43,2.6,8930.02,3.5
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6314.62 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6081.04 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1147.08 is outside the allowed range [80.00, 120.00]",FALSE,51,049SMPL.d,16/11/2023 13:21,Sample,,10-20-T,63459.59,0.8,1836635.13,3,4534087.02,0.5,116349.48,0.6,1759.11,0.9,170938.9,2.5,1374854.82,2.3,8756.6,5.6
"56  Fe  [ He ] :  CPS RSD value = 6.07 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6288.10 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6060.34 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1104.28 is outside the allowed range [80.00, 120.00]",FALSE,52,050SMPL.d,16/11/2023 13:27,Sample,,blk ,1202.39,5.4,2690.35,5.9,75993.05,6.1,2493.63,8.2,35,20.6,170221.05,2.6,1370174.62,3,8429.87,4.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6344.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6135.81 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1105.24 is outside the allowed range [80.00, 120.00]",FALSE,53,051SMPL.d,16/11/2023 13:29,Sample,,100 ppb check,54671.18,1.7,1064070.87,1.2,1685107.79,1.4,42218.99,2.5,279209.91,1.3,171745.36,2.9,1387237.32,2,8437.18,3.3
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6531.51 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 6.13 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6449.18 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1244.12 is outside the allowed range [80.00, 120.00]",FALSE,54,052SMPL.d,16/11/2023 13:31,Sample,,10-30-T,223908.57,0.7,1373970.76,3.2,19479370.13,1.2,500515.96,1.1,8672.63,1,176810.27,3.6,1458086.75,6.1,9497.34,2.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6684.39 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6881.45 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1212.20 is outside the allowed range [80.00, 120.00]",FALSE,55,053SMPL.d,16/11/2023 13:32,Sample,,10-40-T,690354.27,1,5344242.52,1.7,85008788.73,1.1,2162279.86,0.2,45186.41,0.8,180948.75,3.2,1555817.11,2.6,9253.69,2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6709.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 7.50 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6597.05 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1267.72 is outside the allowed range [80.00, 120.00]",FALSE,56,054SMPL.d,16/11/2023 13:34,Sample,,10-50-T,327527.3,1.3,9041950.91,1.5,89598578.66,0.9,2287865.54,0.2,40350.76,0.2,181637.13,4,1491518.67,7.5,9677.55,5.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6639.84 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 8.34 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6671.67 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1285.61 is outside the allowed range [80.00, 120.00]",FALSE,57,055SMPL.d,16/11/2023 13:36,Sample,,10-80-T,289757.2,2.1,4078635.35,3.6,26643724.6,1.8,676805.02,1.3,12307.29,1.3,179742.8,4.4,1508387.89,8.3,9814.06,1.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6799.58 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7007.90 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1233.16 is outside the allowed range [80.00, 120.00]",FALSE,58,056SMPL.d,16/11/2023 13:37,Sample,,10-100-T,284383.96,0.6,2617190.59,1,21114091.35,0.5,537524.24,1,7992.58,1.6,184066.88,3.9,1584405.6,3.7,9413.72,4.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7052.25 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6848.77 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1093.77 is outside the allowed range [80.00, 120.00]",FALSE,59,057SMPL.d,16/11/2023 13:39,Sample,,10-90-T,15976.62,1.8,1168880.42,0.8,613065.92,2.8,16456.67,3.5,409.01,2.6,190906.8,2.4,1548428.73,4.5,8349.65,3.3
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7042.88 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7287.33 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1280.35 is outside the allowed range [80.00, 120.00]",FALSE,60,058SMPL.d,16/11/2023 13:41,Sample,,10-60-T,239938.97,0.5,1209550.71,1.9,7455653.43,0.5,187620.07,0.9,14564.4,1.4,190653.1,2.8,1647582.68,1.6,9773.94,6.4
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7093.41 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7390.53 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1287.36 is outside the allowed range [80.00, 120.00]",FALSE,61,059SMPL.d,16/11/2023 13:42,Sample,,10-70-T,250918.46,1.8,4085069.31,1.2,93438208.61,1.4,2354539.5,3,37522.51,2.4,192020.93,1.3,1670914.14,0.6,9827.45,3.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7113.01 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7333.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1363.90 is outside the allowed range [80.00, 120.00]",FALSE,62,060SMPL.d,16/11/2023 13:44,Sample,,10-0-B,165465.05,0.3,5287458.67,1,19092215.55,0.4,488811.88,0.4,7019.4,0.9,192551.42,2.2,1658047.94,2.9,10411.76,4.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7242.19 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7481.51 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1349.44 is outside the allowed range [80.00, 120.00]",FALSE,63,061SMPL.d,16/11/2023 13:46,Sample,,10-20-B,209916.93,1.2,4794726.8,3.6,17414355.16,1.4,442528.13,1.2,8171.34,1.5,196048.52,2.1,1691485.24,2.6,10301.36,3.5
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 6944.93 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7283.70 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1258.54 is outside the allowed range [80.00, 120.00]",FALSE,64,062SMPL.d,16/11/2023 13:47,Sample,,blk ,2211.17,6.7,7272.23,6.8,179488.82,1.5,4961.03,8.4,76.67,7.6,188001.7,3.8,1646761.64,4.2,9607.42,4.1
"45  Sc ( ISTD )  [ He ] :  CPS RSD value = 28.07 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7086.50 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  CPS RSD value = 32.04 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7267.05 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1224.44 is outside the allowed range [80.00, 120.00]",FALSE,65,063SMPL.d,16/11/2023 13:49,Sample,,100 ppb check,55767.7,4.7,1072462.33,4.7,1787597.01,4.2,44582.73,4.3,279207.51,4.5,191833.94,28.1,1642997.11,32,9347.14,21.7
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7352.98 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7572.16 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1374.75 is outside the allowed range [80.00, 120.00]",FALSE,66,064SMPL.d,16/11/2023 13:50,Sample,,10-80-B,1114982.54,1.4,12153659.82,2,66905372.33,1.1,1708648.57,1.3,36935.3,1.5,199047.63,2.2,1711979.04,2.2,10494.6,2.2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7267.86 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7535.41 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1256.32 is outside the allowed range [80.00, 120.00]",FALSE,67,065SMPL.d,16/11/2023 13:52,Sample,,10-90-B,43674.4,2.8,1121863.68,1.6,1559635.29,1,39381.31,1.7,828.36,1.5,196743.36,3.6,1703670.96,2.3,9590.47,2.1
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7295.68 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7665.68 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1370.39 is outside the allowed range [80.00, 120.00]",FALSE,68,066SMPL.d,16/11/2023 13:54,Sample,,10-10-B,458195.19,1.4,19527969.29,1.6,58695175.79,1.1,1497035.86,1.5,30868.39,0.7,197496.38,2.7,1733122.58,2.3,10461.31,3.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7425.78 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7705.62 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1362.52 is outside the allowed range [80.00, 120.00]",FALSE,69,067SMPL.d,16/11/2023 13:55,Sample,,10-50-B,468353.4,1.3,2866866.31,3.4,38082702.77,1,960077.72,1.5,56806.76,1.1,201018.26,2.1,1742151.74,2.3,10401.21,3.6
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7435.64 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7723.01 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1369.50 is outside the allowed range [80.00, 120.00]",FALSE,70,068SMPL.d,16/11/2023 13:57,Sample,,10-60-B,1166364.42,0.9,1883667.26,1.8,99513045.18,1.2,2508071.89,0.8,117241.79,0.9,201285.28,3,1746084.45,2.7,10454.51,4.1
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7459.60 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7760.73 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1387.89 is outside the allowed range [80.00, 120.00]",FALSE,71,069SMPL.d,16/11/2023 13:59,Sample,,10-70-B,265152.28,1.3,2409732.83,2.6,30061852.89,1.2,754974.68,1.2,12412.71,2,201933.85,4.3,1754612.01,3.5,10594.9,2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7398.22 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7704.86 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1331.05 is outside the allowed range [80.00, 120.00]",FALSE,72,070SMPL.d,16/11/2023 14:00,Sample,,10-100-B,231816.43,1.3,1251545.58,0.6,16679796.42,0.9,421290.85,0.9,6778.29,2.7,200272.37,1.6,1741981.95,2.9,10160.94,1.5
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7530.53 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7813.42 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 7.89 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1342.41 is outside the allowed range [80.00, 120.00]",FALSE,73,071SMPL.d,16/11/2023 14:02,Sample,,20-10-T,471872.95,1.1,307016.26,4.7,49568234.26,1.1,1249567.04,0.8,4724.46,2.3,203853.83,4.3,1766525.81,4.5,10247.67,7.9
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7490.31 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7801.53 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 8.09 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1338.04 is outside the allowed range [80.00, 120.00]",FALSE,74,072SMPL.d,16/11/2023 14:04,Sample,,20-50-T,264642.5,1.7,458574.08,4.1,11151058.17,1.6,280772.8,0.8,18196.86,2.7,202765.11,4,1763836.85,4.1,10214.36,8.1
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7462.05 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7627.01 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1379.16 is outside the allowed range [80.00, 120.00]",FALSE,75,073SMPL.d,16/11/2023 14:05,Sample,,20-70-B,157034.44,1.1,131200.03,1.7,4516870.35,0.9,113247.48,0.1,2474.89,1.1,202000.13,2.6,1724379.35,2.5,10528.22,1.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7301.11 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7719.96 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1245.40 is outside the allowed range [80.00, 120.00]",FALSE,76,074SMPL.d,16/11/2023 14:07,Sample,,20-60-B,109361.55,3,157542.82,3.9,3495919.95,2.2,88122.51,2.7,12646.25,0.8,197643.47,2.9,1745395.86,1.2,9507.13,2.2
"55  Mn  [ He ] :  CPS RSD value = 5.87 is over the allowed maximum = 5.0057  Fe  [ He ] :  CPS RSD value = 5.90 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7352.19 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7743.09 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1293.06 is outside the allowed range [80.00, 120.00]",FALSE,77,075SMPL.d,16/11/2023 14:09,Sample,,20-80-B,94960.31,1.6,72497.35,5.9,482160.53,2.2,11765.23,5.9,895.03,1.8,199026.16,3,1750624.72,2.8,9870.96,3.8
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7395.06 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7712.15 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1324.95 is outside the allowed range [80.00, 120.00]",FALSE,78,076SMPL.d,16/11/2023 14:10,Sample,,20-90-T,171069.99,1.3,404399.54,3,5681613.67,0.4,142845.1,2.6,2422.88,1.8,200186.8,2.6,1743629.45,1.7,10114.37,1.1
"55  Mn  [ He ] :  CPS RSD value = 5.63 is over the allowed maximum = 5.0056  Fe  [ He ] :  CPS RSD value = 5.79 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7357.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7868.70 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1282.07 is outside the allowed range [80.00, 120.00]",FALSE,79,077SMPL.d,16/11/2023 14:12,Sample,,DI H2O,1426.08,1.2,13376.67,5.6,102736.51,5.8,3373.91,10.1,79,8.8,199169.21,2.7,1779022.84,2,9787.03,10
"56  Fe  [ He ] :  CPS RSD value = 5.53 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7403.16 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7762.21 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1401.26 is outside the allowed range [80.00, 120.00]",FALSE,80,078SMPL.d,16/11/2023 14:14,Sample,,blk,3588.12,1.6,7108.65,3.6,184749.22,5.5,5081.08,2.1,602.35,5.2,200405.89,3.8,1754948.15,3.2,10696.92,5
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7481.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7716.10 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1231.85 is outside the allowed range [80.00, 120.00]",FALSE,81,079SMPL.d,16/11/2023 14:15,Sample,,100 ppb check,55509.13,2.7,1051463.16,2.1,1752843.73,3.7,44015.09,4.3,273693.26,2.2,202535.27,3.4,1744522.37,3.3,9403.71,5.5
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7345.47 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8102.91 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  CPS RSD value = 9.17 is over the allowed maximum = 5.00193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1373.47 is outside the allowed range [80.00, 120.00]",FALSE,82,082SMPL.d,16/11/2023 14:20,Sample,,blk,1385.4,7.8,7865.73,3.5,195294.66,2.2,5404.55,5.4,26000.47,2.2,198844.31,3.1,1831976.22,2.6,10484.79,9.2
"45  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7331.14 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8208.94 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1293.48 is outside the allowed range [80.00, 120.00]",FALSE,83,083SMPL.d,16/11/2023 14:22,Sample,,blk,1239.06,4.5,4357.47,1.5,114440.64,3.8,3370.53,5.8,9767,1.2,198456.42,2.3,1855948.25,2.1,9874.17,8.8
"56  Fe  [ He ] :  CPS RSD value = 5.26 is over the allowed maximum = 5.0045  Sc ( ISTD )  [ He ] :  ISTD Recovery Percent value = 7408.82 is outside the allowed range [80.00, 120.00]103  Rh ( ISTD )  [ He ] :  ISTD Recovery Percent value = 8056.24 is outside the allowed range [80.00, 120.00]193  Ir ( ISTD )  [ He ] :  ISTD Recovery Percent value = 1241.47 is outside the allowed range [80.00, 120.00]",FALSE,84,084SMPL.d,16/11/2023 14:23,Sample,,blk,914.03,6.7,2650.33,5.3,84468.47,5.3,2303.6,6.6,5710.81,0.8,200559.28,3.3,1821425.03,4.1,9477.12,2.8
