"","Wavelength..nm.","Absorbance"
"1",250,1.708
"2",251,1.697
"3",252,1.686
"4",253,1.674
"5",254,1.662
"6",255,1.652
"7",256,1.64
"8",257,1.63
"9",258,1.621
"10",259,1.609
"11",260,1.599
"12",261,1.589
"13",262,1.576
"14",263,1.565
"15",264,1.554
"16",265,1.542
"17",266,1.529
"18",267,1.518
"19",268,1.506
"20",269,1.493
"21",270,1.481
"22",271,1.468
"23",272,1.456
"24",273,1.443
"25",274,1.43
"26",275,1.417
"27",276,1.404
"28",277,1.39
"29",278,1.377
"30",279,1.365
"31",280,1.351
"32",281,1.338
"33",282,1.324
"34",283,1.311
"35",284,1.297
"36",285,1.283
"37",286,1.269
"38",287,1.257
"39",288,1.243
"40",289,1.229
"41",290,1.216
"42",291,1.203
"43",292,1.19
"44",293,1.176
"45",294,1.163
"46",295,1.15
"47",296,1.138
"48",297,1.126
"49",298,1.113
"50",299,1.101
"51",300,1.088
"52",301,1.076
"53",302,1.063
"54",303,1.052
"55",304,1.04
"56",305,1.028
"57",306,1.015
"58",307,1.003
"59",308,0.992
"60",309,0.98
"61",310,0.968
"62",311,0.957
"63",312,0.946
"64",313,0.935
"65",314,0.924
"66",315,0.913
"67",316,0.901
"68",317,0.889
"69",318,0.88
"70",319,0.869
"71",320,0.858
"72",321,0.848
"73",322,0.838
"74",323,0.829
"75",324,0.819
"76",325,0.809
"77",326,0.8
"78",327,0.79
"79",328,0.78
"80",329,0.771
"81",330,0.762
"82",331,0.753
"83",332,0.744
"84",333,0.735
"85",334,0.726
"86",335,0.717
"87",336,0.709
"88",337,0.7
"89",338,0.69
"90",339,0.682
"91",340,0.673
"92",341,0.665
"93",342,0.656
"94",343,0.648
"95",344,0.64
"96",345,0.631
"97",346,0.623
"98",347,0.615
"99",348,0.607
"100",349,0.599
"101",350,0.591
"102",351,0.583
"103",352,0.575
"104",353,0.567
"105",354,0.559
"106",355,0.552
"107",356,0.544
"108",357,0.536
"109",358,0.529
"110",359,0.522
"111",360,0.514
"112",361,0.507
"113",362,0.5
"114",363,0.493
"115",364,0.485
"116",365,0.478
"117",366,0.471
"118",367,0.463
"119",368,0.457
"120",369,0.45
"121",370,0.443
"122",371,0.436
"123",372,0.43
"124",373,0.423
"125",374,0.417
"126",375,0.41
"127",376,0.404
"128",377,0.398
"129",378,0.392
"130",379,0.386
"131",380,0.38
"132",381,0.374
"133",382,0.369
"134",383,0.363
"135",384,0.357
"136",385,0.352
"137",386,0.347
"138",387,0.341
"139",388,0.336
"140",389,0.331
"141",390,0.326
"142",391,0.321
"143",392,0.317
"144",393,0.312
"145",394,0.307
"146",395,0.303
"147",396,0.299
"148",397,0.294
"149",398,0.29
"150",399,0.286
"151",400,0.282
"152",401,0.278
"153",402,0.274
"154",403,0.271
"155",404,0.267
"156",405,0.264
"157",406,0.26
"158",407,0.256
"159",408,0.253
"160",409,0.25
"161",410,0.246
"162",411,0.243
"163",412,0.24
"164",413,0.237
"165",414,0.234
"166",415,0.231
"167",416,0.228
"168",417,0.224
"169",418,0.221
"170",419,0.219
"171",420,0.216
"172",421,0.213
"173",422,0.211
"174",423,0.208
"175",424,0.206
"176",425,0.203
"177",426,0.2
"178",427,0.198
"179",428,0.196
"180",429,0.193
"181",430,0.191
"182",431,0.189
"183",432,0.187
"184",433,0.185
"185",434,0.183
"186",435,0.181
"187",436,0.179
"188",437,0.177
"189",438,0.175
"190",439,0.173
"191",440,0.171
"192",441,0.169
"193",442,0.168
"194",443,0.166
"195",444,0.164
"196",445,0.163
"197",446,0.161
"198",447,0.16
"199",448,0.158
"200",449,0.157
"201",450,0.155
"202",451,0.154
"203",452,0.153
"204",453,0.151
"205",454,0.15
"206",455,0.149
"207",456,0.147
"208",457,0.146
"209",458,0.145
"210",459,0.144
"211",460,0.143
"212",461,0.141
"213",462,0.14
"214",463,0.139
"215",464,0.138
"216",465,0.137
"217",466,0.136
"218",467,0.135
"219",468,0.133
"220",469,0.132
"221",470,0.131
"222",471,0.13
"223",472,0.129
"224",473,0.128
"225",474,0.127
"226",475,0.126
"227",476,0.125
"228",477,0.124
"229",478,0.123
"230",479,0.122
"231",480,0.121
"232",481,0.12
"233",482,0.119
"234",483,0.118
"235",484,0.117
"236",485,0.117
"237",486,0.116
"238",487,0.115
"239",488,0.114
"240",489,0.113
"241",490,0.112
"242",491,0.111
"243",492,0.11
"244",493,0.109
"245",494,0.108
"246",495,0.107
"247",496,0.106
"248",497,0.105
"249",498,0.104
"250",499,0.104
"251",500,0.103
"252",501,0.102
"253",502,0.101
"254",503,0.1
"255",504,0.099
"256",505,0.098
"257",506,0.097
"258",507,0.097
"259",508,0.096
"260",509,0.095
"261",510,0.094
"262",511,0.093
"263",512,0.092
"264",513,0.092
"265",514,0.091
"266",515,0.09
"267",516,0.089
"268",517,0.088
"269",518,0.087
"270",519,0.087
"271",520,0.086
"272",521,0.085
"273",522,0.084
"274",523,0.083
"275",524,0.083
"276",525,0.082
"277",526,0.081
"278",527,0.08
"279",528,0.08
"280",529,0.079
"281",530,0.078
"282",531,0.077
"283",532,0.077
"284",533,0.076
"285",534,0.075
"286",535,0.075
"287",536,0.074
"288",537,0.073
"289",538,0.072
"290",539,0.072
"291",540,0.071
"292",541,0.07
"293",542,0.07
"294",543,0.069
"295",544,0.069
"296",545,0.068
"297",546,0.067
"298",547,0.067
"299",548,0.066
"300",549,0.065
"301",550,0.065
"302",551,0.064
"303",552,0.064
"304",553,0.063
"305",554,0.062
"306",555,0.062
"307",556,0.061
"308",557,0.061
"309",558,0.06
"310",559,0.06
"311",560,0.059
"312",561,0.058
"313",562,0.058
"314",563,0.057
"315",564,0.057
"316",565,0.056
"317",566,0.056
"318",567,0.055
"319",568,0.055
"320",569,0.054
"321",570,0.054
"322",571,0.053
"323",572,0.053
"324",573,0.052
"325",574,0.052
"326",575,0.051
"327",576,0.051
"328",577,0.05
"329",578,0.05
"330",579,0.049
"331",580,0.049
"332",581,0.048
"333",582,0.048
"334",583,0.047
"335",584,0.047
"336",585,0.046
"337",586,0.046
"338",587,0.046
"339",588,0.045
"340",589,0.045
"341",590,0.044
"342",591,0.044
"343",592,0.044
"344",593,0.043
"345",594,0.043
"346",595,0.042
"347",596,0.042
"348",597,0.042
"349",598,0.041
"350",599,0.041
"351",600,0.04
"352",601,0.04
"353",602,0.04
"354",603,0.039
"355",604,0.039
"356",605,0.039
"357",606,0.038
"358",607,0.038
"359",608,0.037
"360",609,0.037
"361",610,0.037
"362",611,0.036
"363",612,0.036
"364",613,0.036
"365",614,0.035
"366",615,0.035
"367",616,0.034
"368",617,0.034
"369",618,0.034
"370",619,0.033
"371",620,0.033
"372",621,0.033
"373",622,0.032
"374",623,0.032
"375",624,0.032
"376",625,0.031
"377",626,0.031
"378",627,0.031
"379",628,0.03
"380",629,0.03
"381",630,0.03
"382",631,0.029
"383",632,0.029
"384",633,0.029
"385",634,0.028
"386",635,0.028
"387",636,0.028
"388",637,0.028
"389",638,0.027
"390",639,0.027
"391",640,0.027
"392",641,0.026
"393",642,0.026
"394",643,0.026
"395",644,0.026
"396",645,0.025
"397",646,0.025
"398",647,0.025
"399",648,0.024
"400",649,0.024
"401",650,0.024
"402",651,0.024
"403",652,0.023
"404",653,0.023
"405",654,0.023
"406",655,0.023
"407",656,0.022
"408",657,0.022
"409",658,0.022
"410",659,0.022
"411",660,0.021
"412",661,0.021
"413",662,0.021
"414",663,0.021
"415",664,0.02
"416",665,0.02
